;end_time;energy_kWh;start_time;vehicle_id;;start_season;start_month;start_day;start_hour;start_min;end_season;end_month;end_day;end_hour;end_min;;same_day?;#_hours;start_hour_CI;mid_hours_total_CI;end_hour_CI;;#_min;start_hour_credits;mid_hour_credts;end_hour_credits;;total_credits
26;12/15/18 17:48;10,292;12/15/18 15:58;55P8;;4;12;15;15;58;4;12;15;17;48;;1;3;95,25;104,3;136,96;;110;-0,00000101048727272727;-0,000213212814545454;-0,000698610480872727;;-0,000912833782690909
27;12/15/18 7:30;1,992;12/15/18 7:13;11P2;;4;12;15;7;13;4;12;15;7;30;;1;1;122,4;0;0;;17;-0,00020545488;0;0;;-0,00020545488
28;12/15/18 10:57;4,98;12/15/18 7:43;11P2;;4;12;15;7;43;4;12;15;10;57;;1;4;122,4;203,49;90,26;;194;-0,0000450094453608247;-0,0000886604288659794;0,0000183835929896907;;-0,000115286281237113
29;12/15/18 17:50;0;12/15/18 17:48;19P5;;4;12;15;17;48;4;12;15;17;50;;1;1;136,96;0;0;;2;0;0;0;;0
30;12/15/18 20:34;13,9698;12/15/18 18:23;19P5;;4;12;15;18;23;4;12;15;20;34;;1;3;156,4;153;141,37;;131;-0,000889906119114504;-0,00136477481221374;-0,000621569508567939;;-0,00287625043989618
31;12/15/18 15:22;8,099;12/15/18 6:58;41P9;;4;12;15;6;58;4;12;15;15;22;;1;10;105,08;782,55;95,25;;504;-0,000001310881;-0,00011298105;-0,00000190905;;-0,000116200981
32;12/15/18 16:47;0;12/15/18 16:38;41P9;;4;12;15;16;38;4;12;15;16;47;;1;1;104,3;0;0;;9;0;0;0;;0
33;12/15/18 18:41;1,82;12/15/18 17:28;41P9;;4;12;15;17;28;4;12;15;18;41;;1;2;136,96;0;156,4;;73;-0,000124103855342466;0;-0,000230545134246575;;-0,000354648989589041
34;12/15/18 16:45;15,0444;12/15/18 7:03;23P3;;4;12;15;7;3;4;12;15;16;45;;1;10;122,4;755,4;104,3;;582;-0,000151968602597938;-0,0000301508387628872;-0,0000441793540206185;;-0,000226298795381444
35;12/15/18 5:28;18,69;12/15/18 1:48;30P1;;4;12;15;1;48;4;12;15;5;28;;1;5;90,25;264,26;90,98;;220;0,0000128451272727273;0,00031176958909091;0,0000237206683636363;;0,000348335384727273
36;12/15/18 1:42;6,64;12/15/18 0:33;58P1;;4;12;15;0;33;4;12;15;1;42;;1;2;93,34;0;90,25;;69;0,00000383503304347827;0;0,0000509259130434783;;0,0000547609460869566
37;12/15/18 4:57;11,952;12/15/18 2:53;28P2;;4;12;15;2;53;4;12;15;4;57;;1;3;88,55;87,8;87,91;;124;0,0000126305651612903;0,000123876696774194;0,000115507212387097;;0,000252014474322581
38;12/15/18 16:33;17,928;12/15/18 1:53;42P3;;4;12;15;1;53;4;12;15;16;33;;1;16;90,25;1338,12;104,3;;880;0,00000179687454545455;-0,000112741042909091;-0,000025533954;;-0,000136478122363636
