,end_time,energy_kWh,start_time,vehicle_id,,start_season,start_month,start_day,start_hour,start_min,end_season,end_month,end_day,end_hour,end_min,,same_day?,#_hours,start_hour_CI,mid_hours_total_CI,end_hour_CI,,#_min,start_hour_credits,mid_hour_credts,end_hour_credits,,total_credits
29,12/15/2018 17:50,0,12/15/2018 17:48,19P5,,4,12,15,17,48,4,12,15,17,50,,1,1,136.96,0,0,,2,0,0,0,,0
30,12/15/2018 20:34,13.9698,12/15/2018 18:23,19P5,,4,12,15,18,23,4,12,15,20,34,,1,3,156.4,153,141.37,,131,-0.000889906119115,-0.001364774812214,-0.000621569508568,,-0.002876250439896
31,12/15/2018 15:22,8.099,12/15/2018 6:58,41P9,,4,12,15,6,58,4,12,15,15,22,,1,10,105.08,782.55,95.25,,504,-1.310881E-06,-0.00011298105,-1.90905E-06,,-0.000116200981
32,12/15/2018 16:47,0,12/15/2018 16:38,41P9,,4,12,15,16,38,4,12,15,16,47,,1,1,104.3,0,0,,9,0,0,0,,0
33,12/15/2018 18:41,1.82,12/15/2018 17:28,41P9,,4,12,15,17,28,4,12,15,18,41,,1,2,136.96,0,156.4,,73,-0.000124103855342,0,-0.000230545134247,,-0.000354648989589
34,12/15/2018 16:45,15.0444,12/15/2018 7:03,23P3,,4,12,15,7,3,4,12,15,16,45,,1,10,122.4,755.4,104.3,,582,-0.000151968602598,-3.01508387628872E-05,-4.41793540206185E-05,,-0.000226298795381
35,12/15/2018 5:28,18.69,12/15/2018 1:48,30P1,,4,12,15,1,48,4,12,15,5,28,,1,5,90.25,264.26,90.98,,220,1.28451272727273E-05,0.000311769589091,2.37206683636363E-05,,0.000348335384727
36,12/15/2018 1:42,6.64,12/15/2018 0:33,58P1,,4,12,15,0,33,4,12,15,1,42,,1,2,93.34,0,90.25,,69,3.83503304347827E-06,0,5.09259130434783E-05,,5.47609460869566E-05
37,12/15/2018 4:57,11.952,12/15/2018 2:53,28P2,,4,12,15,2,53,4,12,15,4,57,,1,3,88.55,87.8,87.91,,124,1.26305651612903E-05,0.000123876696774,0.000115507212387,,0.000252014474323
38,12/15/2018 16:33,17.928,12/15/2018 1:53,42P3,,4,12,15,1,53,4,12,15,16,33,,1,16,90.25,1338.12,104.3,,880,1.79687454545455E-06,-0.000112741042909,-2.5533954E-05,,-0.000136478122364
